Num,Plante,Levée,Récolte,Types,Prix,Quantité,Informations
0,Aubergine,10,150,Légume-fruit,"3",0,"L’aubergine (Solanum melongena L.), est originaire d’Asie. Ce sont des plantes herbacées annuelles, largement cultivées pour leurs fruits comestibles comme plantes potagères ou maraîchères."
1,Betterave,10,110,Légume-racine,"2.2",0,La betterave potagère (Beta vulgaris) est une plante potagère originaire du Proche-Orient dont on cultive diverses variétés pour leur racine pivotante tubérisée et comestible.
2,Carotte,15,120,Légume-racine,"2.4",0,"La carotte, Daucus carota subsp. sativus, est une plante bisannuelle de la famille des apiacées (aussi appelées ombellifères), largement cultivée pour sa racine pivotante charnue, comestible, de couleur généralement orangée, consommée comme légume."
3,Céleri,15,210,Légume-racine,"2.2",0,"Le céleri (Apium graveolens L.), est une plante herbacée bisannuelle de la famille des Apiacées, cultivée comme plante potagère pour ses feuilles et sa racine tubérisée consommées comme légumes. À l'état sauvage, il pousse au bord des ruisseaux et dans les endroits humides."
4,Chou brocoli,10,150,Légume-feuille,"3",0,Le brocoli (Brassica oleracea var. asparagoides)est une variété de choux originaire du sud de l'Italie. Il fut sélectionné par les Romains à partir du chou sauvage. Ceux-ci l'appréciaient beaucoup et la cuisine italienne l'utilise beaucoup. Il fut introduit en France par Catherine de Médicis.
5,Chou de Bruxelles,10,165,Légume-feuille,"3.2",0,"Le chou de Bruxelles (Brassica oleracea var. gemmifera) est une variété de chou, plante herbacée de la famille des Brassicaceae (sous-famille des Brassicoideae), cultivée pour ses bourgeons axillaires qui forment de petites têtes pommées, consommées comme légume. Le terme désigne aussi ce légume."
6,Chou fleur,7,175,Légume-feuille,"3.4",0,"Le chou-fleur (Brassica oleracea var. Botrytis) est une variété de chou de la famille des Brassicacées, cultivée comme plante potagère pour son méristème floral hypertrophié et charnu, consommé comme légume."
7,Concombre,10,90,Légume-fruit,"1.8",0,"Le concombre (Cucumis sativus) est une plante potagère herbacée, rampante, de la même famille que la calebasse africaine, le melon ou la courge (famille des Cucurbitacées). C'est botaniquement un fruit qui est consommé comme un légume. Il est de la même espèce (Cucumis sativus) que le cornichon, consommé lui comme condiment. La plante, qui poussait naturellement au pied de l'Himalaya, aurait été domestiquée pour la première fois en Inde il y a au moins 3 000 ans."
8,Courgette,7,65,Légume-fruit,"1.2",0,"La courgette est une plante herbacée de la famille des Cucurbitaceae, c'est aussi le fruit comestible de cette plante.  La courgette est un fruit courant en été, la fleur de courgette est aussi utilisée en cuisine."
9,Epinard,10,70,Légume-feuille,"1.4",0,"L'épinard (Spinacia oleracea) est une plante potagère, annuelle ou bisannuelle, de la famille des Chenopodiaceae ou des Amaranthaceae selon les classifications. Originaire de l'Iran , il est aujourd'hui cultivé dans toutes les régions tempérées pour ses qualités nutritionnelles."
11,Haricot vert,7,75,Légume-fruit,"1.4",0,"Les haricots verts sont des gousses immatures du haricot commun (Phaseolus vulgaris) consommées comme légumes. Selon les variétés, leur couleur peut varier entre le jaune (haricots « beurre »), le vert et le violet."
12,Laitue,7,60,Légume-feuille,"1.2",0,"Les Laitues (Lactuca), au sens botanique du terme, sont un genre de plantes annuelles de la famille des Astéracées (Composées) dont certaines espèces sont cultivées pour leurs feuilles tendres consommées comme salade verte. Ce genre comprend plus de 100 espèces. La laitue la plus cultivée est l'espèce Lactuca sativa à partir de laquelle les jardiniers ont sélectionné de nombreuses variétés et cultivars."
14,Melon,7,135,Légume-fruit,"2.6",0,"Le Melon (Cucumis melo) est une plante herbacée annuelle originaire d'Afrique intertropicale, appartenant à la famille des Cucurbitacées et largement cultivée comme plante potagère pour son faux-fruit comestible. Le terme désigne aussi le fruit climactérique lui-même très savoureux, sucré et parfumé."
15,Navet,7,90,Légume-racine,"1.8",0,"Le Navet (Brassica rapa L. subsp. Rapa), est une plante herbacée de la famille des Brassicacées, cultivée comme plante potagère ou fourragère pour sa racine charnue allongée ou arrondie, consommée comme légume."
16,Poireau,10,170,Légume-fruit,"3.4",0,"Le poireau (Allium ampeloprasum var. porrum, anciennement Allium porrum) est une espèce de plante herbacée vivace largement cultivée comme plante potagère pour ses feuilles (pseudo-tiges) consommées comme légumes. Il appartient à la famille des Amaryllidacées (précédemment famille des Liliacées puis des Alliacées)."
17,Pois,10,120,Légume-fruit,"2.4",0,"Le Pois cultivé (Pisum sativum L.) est une espèce de plante annuelle de la famille des légumineuses (Fabacées), largement cultivée pour ses graines, consommée comme légume."
18,Radis,7,21,Légume-racine,"0.5",10,"Le radis (Raphanus sativus), est une plante potagère annuelle ou bisannuelle de la famille des Brassicacées, principalement cultivée pour son hypocotyle charnu, souvent consommé cru, comme légume.  Toutes les parties de la plante sont comestibles, bien que sa racine pivot soit plus populaire. La peau et la chair du radis peuvent être de différentes couleurs, dont la plus courante est le rouge. Certaines variétés peuvent être bicolores, roses, violettes, vertes, blanches ou noires."
19,Tomate,7,120,Légume-fruit,"2.2",0,"La tomate (Solanum lycopersicum L.) est une espèce de plantes herbacées du genre solanum de la famille des Solanacées, originaire du Nord-Ouest de l'Amérique du Sud, largement cultivée pour son fruit. Le terme désigne aussi ce fruit charnu. La tomate se consomme comme un légume-fruit, crue ou cuite. Elle est devenue un élément incontournable de la gastronomie dans de nombreux pays, et tout particulièrement dans le bassin méditerranéen.  L'espèce compte quelques variétés botaniques, dont la « tomate-cerise » et plusieurs milliers de variétés cultivées."
20,Engrais,0,0,0,"10",10,"L'engrais vous permet de redonner des nutriments à votre parcelle. Cela vous permet donc de planter deux fois de suite, le même type de plante."
21,vide,0,0,,,0,
22,argent,0,0,0,"0",20
